,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
PUBLIC SCHOOLS,CASTLE SHANNON,15234,MYRTLE ELEMENTARY SCHOOL GYM- 3724 MYRTLE AVE., 3724 MYRTLE AVE.," 3724 MYRTLE AVE., CASTLE SHANNON"," 3724 MYRTLE AVE., CASTLE SHANNON, Pennsylvania, 15234"
MUNICIPAL OWNED BLDG,CASTLE SHANNON,15234,3310 MCROBERTS RD - CASTLE SHANNON MUNI CTR CONF RM, CASTLE SHANNON MUNI CTR CONF RM," CASTLE SHANNON MUNI CTR CONF RM, CASTLE SHANNON"," CASTLE SHANNON MUNI CTR CONF RM, CASTLE SHANNON, Pennsylvania, 15234"
PRIVATE SCHOOL,CASTLE SHANNON,15234,ST. ANNE SCHOOL CAFE- 4040 WILLOW AVE. , 4040 WILLOW AVE. ," 4040 WILLOW AVE. , CASTLE SHANNON"," 4040 WILLOW AVE. , CASTLE SHANNON, Pennsylvania, 15234"
LIBRARY,CASTLE SHANNON,15234,COMMUNITY LIBRARY OF CASTLE SHANNON MULTI PURP RM- 3677 MYRTLE AVE. , 3677 MYRTLE AVE. ," 3677 MYRTLE AVE. , CASTLE SHANNON"," 3677 MYRTLE AVE. , CASTLE SHANNON, Pennsylvania, 15234"
PRIVATE SCHOOL,CASTLE SHANNON,15234,ST. ANNE SCHOOL GYM- 4040 WILLOW AVE. , 4040 WILLOW AVE. ," 4040 WILLOW AVE. , CASTLE SHANNON"," 4040 WILLOW AVE. , CASTLE SHANNON, Pennsylvania, 15234"
LIBRARY,CASTLE SHANNON,15234,COMMUNITY LIBRARY OF CASTLE SHANNON MULTI PURP RM- 3677 MYRTLE AVE. , 3677 MYRTLE AVE. ," 3677 MYRTLE AVE. , CASTLE SHANNON"," 3677 MYRTLE AVE. , CASTLE SHANNON, Pennsylvania, 15234"
MUNICIPAL OWNED BLDG,CASTLE SHANNON,15234,3310 MCROBERTS RD - CASTLE SHANNON MUNI CTR CONF RM, CASTLE SHANNON MUNI CTR CONF RM," CASTLE SHANNON MUNI CTR CONF RM, CASTLE SHANNON"," CASTLE SHANNON MUNI CTR CONF RM, CASTLE SHANNON, Pennsylvania, 15234"
MUNICIPAL OWNED BLDG,CHALFANT,15112,CHALFANT COMMUNITY CENTER- 218 NORTH AVE., 218 NORTH AVE.," 218 NORTH AVE., CHALFANT"," 218 NORTH AVE., CHALFANT, Pennsylvania, 15112"
VOL FIRE STATIONS,CHESWICK,15024,CHESWICK VOL. FIRE CO.- 1411 SPRUCE ST. , 1411 SPRUCE ST. ," 1411 SPRUCE ST. , CHESWICK"," 1411 SPRUCE ST. , CHESWICK, Pennsylvania, 15024"
VOL FIRE STATIONS,CHESWICK,15024,CHESWICK VOL. FIRE CO.- 1411 SPRUCE ST. , 1411 SPRUCE ST. ," 1411 SPRUCE ST. , CHESWICK"," 1411 SPRUCE ST. , CHESWICK, Pennsylvania, 15024"
MUNICIPAL OWNED BLDG,CHURCHILL,15235,CHURCHILL BOROUGH MUNICIPAL BUILDING- 2300 WILLIAM PENN HWY., 2300 WILLIAM PENN HWY.," 2300 WILLIAM PENN HWY., CHURCHILL"," 2300 WILLIAM PENN HWY., CHURCHILL, Pennsylvania, 15235"
CHURCH/TEMPLE,CHURCHILL,15221,ST JOHN FISHER CHURCH 33 LEWIN LN,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,CHURCHILL,15221,ST JOHN FISHER CHURCH 33 LEWIN LN,#VALUE!,#VALUE!,#VALUE!
PRIVATE SCHOOL,CHURCHILL,15221,PACE SCHOOL DR 5 LOWER SIDE ENT- 2432 GREENSBURG PIKE , 2432 GREENSBURG PIKE ," 2432 GREENSBURG PIKE , CHURCHILL"," 2432 GREENSBURG PIKE , CHURCHILL, Pennsylvania, 15221"
CHURCH/TEMPLE,CLAIRTON,15025,PINE RUN UNITED METHODIST CHURCH- 901 N. SIXTH ST. , 901 N. SIXTH ST. ," 901 N. SIXTH ST. , CLAIRTON"," 901 N. SIXTH ST. , CLAIRTON, Pennsylvania, 15025"
CHURCH/TEMPLE,CLAIRTON,15025,WILSON PRES. CHURCH- 400 N FOURTH ST, 400 N FOURTH ST," 400 N FOURTH ST, CLAIRTON"," 400 N FOURTH ST, CLAIRTON, Pennsylvania, 15025"
CHURCH/TEMPLE,CLAIRTON,15025,WILSON PRES. CHURCH- 400 N FOURTH ST, 400 N FOURTH ST," 400 N FOURTH ST, CLAIRTON"," 400 N FOURTH ST, CLAIRTON, Pennsylvania, 15025"
ALL. CO. HOUSING AUTH,CLAIRTON,15025,G.W. CARVER HALL- MANAGEMENT OFFICE- 565 REED ST. , MANAGEMENT OFFICE- 565 REED ST. ," MANAGEMENT OFFICE- 565 REED ST. , CLAIRTON"," MANAGEMENT OFFICE- 565 REED ST. , CLAIRTON, Pennsylvania, 15025"
ALL. CO. HOUSING AUTH,CLAIRTON,15025,G.W. CARVER HALL- MANAGEMENT OFFICE- 565 REED ST. , MANAGEMENT OFFICE- 565 REED ST. ," MANAGEMENT OFFICE- 565 REED ST. , CLAIRTON"," MANAGEMENT OFFICE- 565 REED ST. , CLAIRTON, Pennsylvania, 15025"
CHURCH/TEMPLE,CLAIRTON,15025,FIRST UNITED METHODIST CHURCH RAMP DOOR- 500 THOMPSON AVE. , 500 THOMPSON AVE. ," 500 THOMPSON AVE. , CLAIRTON"," 500 THOMPSON AVE. , CLAIRTON, Pennsylvania, 15025"
CHURCH/TEMPLE,CLAIRTON,15025,FIRST UNITED METHODIST CHURCH RAMP DOOR- 500 THOMPSON AVE. , 500 THOMPSON AVE. ," 500 THOMPSON AVE. , CLAIRTON"," 500 THOMPSON AVE. , CLAIRTON, Pennsylvania, 15025"
CHURCH/TEMPLE,CLAIRTON,15025,FIRST UNITED METHODIST CHURCH RAMP DOOR- 500 THOMPSON AVE. , 500 THOMPSON AVE. ," 500 THOMPSON AVE. , CLAIRTON"," 500 THOMPSON AVE. , CLAIRTON, Pennsylvania, 15025"
MUNICIPAL OWNED BLDG,CLAIRTON,15025,CLAIRTON MUNICIPAL BLDG-551 RAVENSBURG BLVD,551 RAVENSBURG BLVD,"551 RAVENSBURG BLVD, CLAIRTON","551 RAVENSBURG BLVD, CLAIRTON, Pennsylvania, 15025"
SENIOR CENTERS,CLAIRTON,15025,G.W. CARVER HALL- MANAGEMENT OFFICE- 565 REED ST. , MANAGEMENT OFFICE- 565 REED ST. ," MANAGEMENT OFFICE- 565 REED ST. , CLAIRTON"," MANAGEMENT OFFICE- 565 REED ST. , CLAIRTON, Pennsylvania, 15025"
MUNICIPAL OWNED BLDG,CLAIRTON,15025,CLAIRTON MUNICIPAL BLDG-551 RAVENSBURG BLVD,551 RAVENSBURG BLVD,"551 RAVENSBURG BLVD, CLAIRTON","551 RAVENSBURG BLVD, CLAIRTON, Pennsylvania, 15025"
MUNICIPAL OWNED BLDG,CLAIRTON,15025,CLAIRTON MUNICIPAL BLDG-551 RAVENSBURG BLVD,551 RAVENSBURG BLVD,"551 RAVENSBURG BLVD, CLAIRTON","551 RAVENSBURG BLVD, CLAIRTON, Pennsylvania, 15025"
MUNICIPAL OWNED BLDG,COLLIER,15071,COMMUNITY CENTER-5 LOBAUGH ST,5 LOBAUGH ST,"5 LOBAUGH ST, COLLIER","5 LOBAUGH ST, COLLIER, Pennsylvania, 15071"
VOL FIRE STATIONS,COLLIER,15106,RENNERDALE VOL FIRE CO.- 30 SUBURBAN AVE., 30 SUBURBAN AVE.," 30 SUBURBAN AVE., COLLIER"," 30 SUBURBAN AVE., COLLIER, Pennsylvania, 15106"
HI-RISES-PRIVATE APTS,COLLIER,15106,CLUBHOUSE- 160 CLOVERLEAF DR., 160 CLOVERLEAF DR.," 160 CLOVERLEAF DR., COLLIER"," 160 CLOVERLEAF DR., COLLIER, Pennsylvania, 15106"
CHARTIERS VALLEY JOINT SCH.,COLLIER,15017,VILLAGE OF NEVILLE PARK-100 NEVILLE PARK BLVD,100 NEVILLE PARK BLVD,"100 NEVILLE PARK BLVD, COLLIER","100 NEVILLE PARK BLVD, COLLIER, Pennsylvania, 15017"
MUNICIPAL,COLLIER,15142,COLLIER TWP MUNICIPAL BUILDING- 2418 HILLTOP RD. , 2418 HILLTOP RD. ," 2418 HILLTOP RD. , COLLIER"," 2418 HILLTOP RD. , COLLIER, Pennsylvania, 15142"
CHURCH,COLLIER,15106,CARNEGIE PRESBYTERIAN CHURCH-219 EWING RD,219 EWING RD,"219 EWING RD, COLLIER","219 EWING RD, COLLIER, Pennsylvania, 15106"
GOVERNMENT BLDG,CORAOPOLIS,15108,ARMORY BUILDING- 835 FIFTH AVE. , 835 FIFTH AVE. ," 835 FIFTH AVE. , CORAOPOLIS"," 835 FIFTH AVE. , CORAOPOLIS, Pennsylvania, 15108"
GOVERNMENT BLDG,CORAOPOLIS,15108,ARMORY BUILDING- 835 FIFTH AVE. , 835 FIFTH AVE. ," 835 FIFTH AVE. , CORAOPOLIS"," 835 FIFTH AVE. , CORAOPOLIS, Pennsylvania, 15108"
HI-RISES-PRIVATE APTS,CORAOPOLIS,15108,CORAOPOLIS TOWERS- 951 FIRST AVE. , 951 FIRST AVE. ," 951 FIRST AVE. , CORAOPOLIS"," 951 FIRST AVE. , CORAOPOLIS, Pennsylvania, 15108"
MUNICIPAL OWNED BLDG,CORAOPOLIS,15108,CORAOPOLIS BOROUGH MUNICIPAL BUILDING- 1012 FIFTH AVE. , 1012 FIFTH AVE. ," 1012 FIFTH AVE. , CORAOPOLIS"," 1012 FIFTH AVE. , CORAOPOLIS, Pennsylvania, 15108"
MUNICIPAL OWNED BLDG,CORAOPOLIS,15108,CORAOPOLIS BOROUGH MUNICIPAL BUILDING- 1012 FIFTH AVE. , 1012 FIFTH AVE. ," 1012 FIFTH AVE. , CORAOPOLIS"," 1012 FIFTH AVE. , CORAOPOLIS, Pennsylvania, 15108"
CHURCH/TEMPLE,CORAOPOLIS,15108,CORAOPOLIS TOWERS- 951 1ST AVE., 951 1ST AVE.," 951 1ST AVE., CORAOPOLIS"," 951 1ST AVE., CORAOPOLIS, Pennsylvania, 15108"
CHURCH/TEMPLE,CORAOPOLIS,15108,CORAOPOLIS TOWERS- 951 1ST AVE., 951 1ST AVE.," 951 1ST AVE., CORAOPOLIS"," 951 1ST AVE., CORAOPOLIS, Pennsylvania, 15108"
COMMUNITY CENTER,CRAFTON,15205,CRAFTON COMMUNITY CENTER SIDE ENT ELEV 2ND FL- 140 BRADFORD AVE., 140 BRADFORD AVE.," 140 BRADFORD AVE., CRAFTON"," 140 BRADFORD AVE., CRAFTON, Pennsylvania, 15205"
CARLYNTON SCHOOL DIST.,CRAFTON,15205,CRAFTON ELEMENTARY SCHOOL- 1874 CRAFTON BLVD. , 1874 CRAFTON BLVD. ," 1874 CRAFTON BLVD. , CRAFTON"," 1874 CRAFTON BLVD. , CRAFTON, Pennsylvania, 15205"
CHURCH/TEMPLE,CRAFTON,15205,ST MATTHEWS CHURCH HALL- 45 EAST STEUBEN ST, 45 EAST STEUBEN ST," 45 EAST STEUBEN ST, CRAFTON"," 45 EAST STEUBEN ST, CRAFTON, Pennsylvania, 15205"
HI-RISES-PRIVATE APTS,CRAFTON,15205,CRAFTON TOWERS REC RM- 1215 FOSTER AVE., 1215 FOSTER AVE.," 1215 FOSTER AVE., CRAFTON"," 1215 FOSTER AVE., CRAFTON, Pennsylvania, 15205"
AMERICAN LEGIONS,CRAFTON,15205,AMERICAN LEGION FRANK R. KIRK POST 145- ONE AMERICAN LEGION PLAZA, ONE AMERICAN LEGION PLAZA," ONE AMERICAN LEGION PLAZA, CRAFTON"," ONE AMERICAN LEGION PLAZA, CRAFTON, Pennsylvania, 15205"
CHURCH/TEMPLE,CRAFTON,15205,HAWTHORNE AVE PRESBYTERIAN CHURCH SUN SCH RM- 90 HAWTHORNE AVE. , 90 HAWTHORNE AVE. ," 90 HAWTHORNE AVE. , CRAFTON"," 90 HAWTHORNE AVE. , CRAFTON, Pennsylvania, 15205"
MUNICIPAL OWNED BLDG,CRESCENT,15046,CRESCENT TOWNSHIP BLDG- 225 SPRING RUN RD. , 225 SPRING RUN RD. ," 225 SPRING RUN RD. , CRESCENT"," 225 SPRING RUN RD. , CRESCENT, Pennsylvania, 15046"
MUNICIPAL OWNED BLDG,CRESCENT,15046,CRESCENT TOWNSHIP BLDG- 225 SPRING RUN RD. , 225 SPRING RUN RD. ," 225 SPRING RUN RD. , CRESCENT"," 225 SPRING RUN RD. , CRESCENT, Pennsylvania, 15046"
CHURCH/TEMPLE,DORMONT,15216,KIMQUOC SUNRISE--1641 POTOMAC AVE,-1641 POTOMAC AVE,"-1641 POTOMAC AVE, DORMONT","-1641 POTOMAC AVE, DORMONT, Pennsylvania, 15216"
CHURCH/TEMPLE,DORMONT,15216,MT LEBANON U.M. CHURCH ASBURY CTR- 3319 W. LIBERTY AVE., 3319 W. LIBERTY AVE.," 3319 W. LIBERTY AVE., DORMONT"," 3319 W. LIBERTY AVE., DORMONT, Pennsylvania, 15216"
CHURCH/TEMPLE,DORMONT,15216,NORTHWAY CHRISTIAN COMMUNITY CHURCH RM 101- 2865 ESPY AVE.  , 2865 ESPY AVE.  ," 2865 ESPY AVE.  , DORMONT"," 2865 ESPY AVE.  , DORMONT, Pennsylvania, 15216"
CHURCH/TEMPLE,DORMONT,15216,KIMQUOC SUNRISE--1641 POTOMAC AVE,-1641 POTOMAC AVE,"-1641 POTOMAC AVE, DORMONT","-1641 POTOMAC AVE, DORMONT, Pennsylvania, 15216"
CHURCH/TEMPLE,DORMONT,15216,NORTHWAY CHRISTIAN COMMUNITY  CHURCH RM 101- 2865 ESPY AVE. , 2865 ESPY AVE. ," 2865 ESPY AVE. , DORMONT"," 2865 ESPY AVE. , DORMONT, Pennsylvania, 15216"
MUNICIPAL OWNED BLDG,DORMONT,15216,DORMONT BOROUGH GYMNASIUM- 1444 HILLSDALE AVE., 1444 HILLSDALE AVE.," 1444 HILLSDALE AVE., DORMONT"," 1444 HILLSDALE AVE., DORMONT, Pennsylvania, 15216"
CHURCH/TEMPLE,DORMONT,15216,MT LEBANON U.M. CHURCH ASBURY CTR- 3319 W. LIBERTY AVE., 3319 W. LIBERTY AVE.," 3319 W. LIBERTY AVE., DORMONT"," 3319 W. LIBERTY AVE., DORMONT, Pennsylvania, 15216"
CHURCH/TEMPLE,DORMONT,15216,MT LEBANON U.M. CHURCH ASBURY CTR- 3319 W. LIBERTY AVE., 3319 W. LIBERTY AVE.," 3319 W. LIBERTY AVE., DORMONT"," 3319 W. LIBERTY AVE., DORMONT, Pennsylvania, 15216"
PUBLIC SCHOOLS,DORMONT,15216,DORMONT ELEMENTARY SCHOOL - 3200 ANNAPOLIS AVE. , 3200 ANNAPOLIS AVE. ," 3200 ANNAPOLIS AVE. , DORMONT"," 3200 ANNAPOLIS AVE. , DORMONT, Pennsylvania, 15216"
PUBLIC SCHOOLS,DORMONT,15216,DORMONT ELEMENTARY SCHOOL - 3200 ANNAPOLIS AVE. , 3200 ANNAPOLIS AVE. ," 3200 ANNAPOLIS AVE. , DORMONT"," 3200 ANNAPOLIS AVE. , DORMONT, Pennsylvania, 15216"
MUNICIPAL OWNED BLDG,DRAVOSBURG,15034,MUNICIPAL BUILDING COUNCIL CHAMBERS- 226 MAPLE AVE. , 226 MAPLE AVE. ," 226 MAPLE AVE. , DRAVOSBURG"," 226 MAPLE AVE. , DRAVOSBURG, Pennsylvania, 15034"
MUNICIPAL OWNED BLDG,DRAVOSBURG,15034,DRAVOSBURG BORO BLDG-226 MAPLE AVE,226 MAPLE AVE,"226 MAPLE AVE, DRAVOSBURG","226 MAPLE AVE, DRAVOSBURG, Pennsylvania, 15034"
HI-RISES-PRIVATE APTS,DRAVOSBURG,15034,DRAVOSBURG HOUSING ASSOCIATION- 250 SCOTT DR. , 250 SCOTT DR. ," 250 SCOTT DR. , DRAVOSBURG"," 250 SCOTT DR. , DRAVOSBURG, Pennsylvania, 15034"
BUSINESS,DUQUESNE,15110,MASONIC HALL-1200 CLONMEL ST,1200 CLONMEL ST,"1200 CLONMEL ST, DUQUESNE","1200 CLONMEL ST, DUQUESNE, Pennsylvania, 15110"
BUSINESS,DUQUESNE,15110,MASONIC HALL-1200 CLONMEL ST,1200 CLONMEL ST,"1200 CLONMEL ST, DUQUESNE","1200 CLONMEL ST, DUQUESNE, Pennsylvania, 15110"
MUNICIPAL OWNED BLDG,DUQUESNE,15110,CITY HALL POLICE RM & GARAGE- 12 SOUTH SECOND ST. , 12 SOUTH SECOND ST. ," 12 SOUTH SECOND ST. , DUQUESNE"," 12 SOUTH SECOND ST. , DUQUESNE, Pennsylvania, 15110"
CHURCH/TEMPLE,DUQUESNE,15110,ST HEDWIGS CHURCH- 105 S. 5TH ST, 105 S. 5TH ST," 105 S. 5TH ST, DUQUESNE"," 105 S. 5TH ST, DUQUESNE, Pennsylvania, 15110"
MUNICIPAL OWNED BLDG,DUQUESNE,15110,CITY HALL POLICE RM & GARAGE- 12 SOUTH SECOND ST. , 12 SOUTH SECOND ST. ," 12 SOUTH SECOND ST. , DUQUESNE"," 12 SOUTH SECOND ST. , DUQUESNE, Pennsylvania, 15110"
CHURCH/TEMPLE,DUQUESNE,15110,ST HEDWIGS CHURCH- 105 S. 5TH ST, 105 S. 5TH ST," 105 S. 5TH ST, DUQUESNE"," 105 S. 5TH ST, DUQUESNE, Pennsylvania, 15110"
CHURCH/TEMPLE,DUQUESNE,15110,ST HEDWIGS CHURCH- 105 S. 5TH ST, 105 S. 5TH ST," 105 S. 5TH ST, DUQUESNE"," 105 S. 5TH ST, DUQUESNE, Pennsylvania, 15110"
CHURCH/TEMPLE,DUQUESNE,15110,ST PETER & PAUL BYZANTINE CHURCH SOCIAL HALL- 701 FOSTER AVE. , 701 FOSTER AVE. ," 701 FOSTER AVE. , DUQUESNE"," 701 FOSTER AVE. , DUQUESNE, Pennsylvania, 15110"
CHURCH/TEMPLE,DUQUESNE,15110,MACEDONIA BAPTIST CHURCH 1ST FLOOR- 17 COCHRAN ST. , 17 COCHRAN ST. ," 17 COCHRAN ST. , DUQUESNE"," 17 COCHRAN ST. , DUQUESNE, Pennsylvania, 15110"
CHURCH/TEMPLE,DUQUESNE,15110,ST PETER & PAUL BYZANTINE CHURCH SOCIAL HALL- 701 FOSTER AVE. , 701 FOSTER AVE. ," 701 FOSTER AVE. , DUQUESNE"," 701 FOSTER AVE. , DUQUESNE, Pennsylvania, 15110"
MUNICIPAL OWNED BLDG,EAST DEER,15030,EAST DEER MUNICIPAL BUILDING- 927 FREEPORT RD. , 927 FREEPORT RD. ," 927 FREEPORT RD. , EAST DEER"," 927 FREEPORT RD. , EAST DEER, Pennsylvania, 15030"
CHURCH/TEMPLE,EAST DEER,15030,HOLY FAMILY PARISH SOCIAL HALL- 787 FREEPORT RD. , 787 FREEPORT RD. ," 787 FREEPORT RD. , EAST DEER"," 787 FREEPORT RD. , EAST DEER, Pennsylvania, 15030"
VOL FIRE STATIONS,EAST MCKEESPORT,15035,UNITED VOLUNTEER FIRE & RESCUE- 611 BROADWAY ST. , 611 BROADWAY ST. ," 611 BROADWAY ST. , EAST MCKEESPORT"," 611 BROADWAY ST. , EAST MCKEESPORT, Pennsylvania, 15035"
SENIOR CENTERS,EAST MCKEESPORT,15035,EAST MCKEESPORT SENIOR CITIZENS COMMUNITY CENTER- 539 CHICORA ST., 539 CHICORA ST.," 539 CHICORA ST., EAST MCKEESPORT"," 539 CHICORA ST., EAST MCKEESPORT, Pennsylvania, 15035"
SENIOR CENTERS,EAST MCKEESPORT,15035,EAST MCKEESPORT SENIOR CITIZENS COMMUNITY CENTER- 539 CHICORA ST., 539 CHICORA ST.," 539 CHICORA ST., EAST MCKEESPORT"," 539 CHICORA ST., EAST MCKEESPORT, Pennsylvania, 15035"
COMMUNITY CENTER,EAST PITTSBURGH,15112,EAST PITTSBURGH COMMUNITY CENTER GYM REAR ENT- 506 BESSEMER AVE. , 506 BESSEMER AVE. ," 506 BESSEMER AVE. , EAST PITTSBURGH"," 506 BESSEMER AVE. , EAST PITTSBURGH, Pennsylvania, 15112"
COMMUNITY CENTER,EAST PITTSBURGH,15112,EAST PITTSBURGH COMMUNITY CENTER GYM REAR ENT- 506 BESSEMER AVE. , 506 BESSEMER AVE. ," 506 BESSEMER AVE. , EAST PITTSBURGH"," 506 BESSEMER AVE. , EAST PITTSBURGH, Pennsylvania, 15112"
COMMUNITY CENTER,EAST PITTSBURGH,15112,EAST PITTSBURGH COMMUNITY CENTER GYM REAR ENT- 506 BESSEMER AVE. , 506 BESSEMER AVE. ," 506 BESSEMER AVE. , EAST PITTSBURGH"," 506 BESSEMER AVE. , EAST PITTSBURGH, Pennsylvania, 15112"
PUBLIC SCHOOLS,EDGEWOOD,15218,241 MAPLE AVE - EDGEWOOD PRIMARY SCHOOL / REAR ENT, EDGEWOOD PRIMARY SCHOOL / REAR ENT," EDGEWOOD PRIMARY SCHOOL / REAR ENT, EDGEWOOD"," EDGEWOOD PRIMARY SCHOOL / REAR ENT, EDGEWOOD, Pennsylvania, 15218"
MUNICIPAL OWNED BLDG,EDGEWOOD,15218,2 RACE ST. - BORO BLDG, BORO BLDG," BORO BLDG, EDGEWOOD"," BORO BLDG, EDGEWOOD, Pennsylvania, 15218"
MUNICIPAL OWNED BLDG,EDGEWOOD,15218,2 RACE ST. - BORO BLDG, BORO BLDG," BORO BLDG, EDGEWOOD"," BORO BLDG, EDGEWOOD, Pennsylvania, 15218"
BUSINESS,EDGEWORTH,15143,EDGEWORTH CLUB BALLROOM- 511 EAST DRIVE, 511 EAST DRIVE," 511 EAST DRIVE, EDGEWORTH"," 511 EAST DRIVE, EDGEWORTH, Pennsylvania, 15143"
BUSINESS,EDGEWORTH,15143,EDGEWORTH CLUB BALLROOM- 511 EAST DRIVE, 511 EAST DRIVE," 511 EAST DRIVE, EDGEWORTH"," 511 EAST DRIVE, EDGEWORTH, Pennsylvania, 15143"
VOL FIRE STATIONS,ELIZABETH BORO,15037,ELIZABETH BORO VFD SOCIAL HALL-107 MARKET ST,107 MARKET ST,"107 MARKET ST, ELIZABETH BORO","107 MARKET ST, ELIZABETH BORO, Pennsylvania, 15037"
CHURCH/TEMPLE,ELIZABETH TWP,15037,CENTRAL HIGHLANDS COMMUNITY UNITED METHODIST CHURCH- 204 TIMOTHY DR., 204 TIMOTHY DR.," 204 TIMOTHY DR., ELIZABETH TWP"," 204 TIMOTHY DR., ELIZABETH TWP, Pennsylvania, 15037"
PUBLIC SCHOOLS,ELIZABETH TWP,15037,ELIZABETH FORWARD MIDDLE SCHOOL-401 ROCK RUN ,401 ROCK RUN ,"401 ROCK RUN , ELIZABETH TWP","401 ROCK RUN , ELIZABETH TWP, Pennsylvania, 15037"
PUBLIC SCHOOLS,ELIZABETH TWP,15135,GREENOCK ELEMENTARY- 1101 GREENOCK BUENA VISTA RD, 1101 GREENOCK BUENA VISTA RD," 1101 GREENOCK BUENA VISTA RD, ELIZABETH TWP"," 1101 GREENOCK BUENA VISTA RD, ELIZABETH TWP, Pennsylvania, 15135"
VOL FIRE STATIONS,ELIZABETH TWP,15018,BUENA VISTA VOL FIRE CO- 3333 FIRE STATION ST. , 3333 FIRE STATION ST. ," 3333 FIRE STATION ST. , ELIZABETH TWP"," 3333 FIRE STATION ST. , ELIZABETH TWP, Pennsylvania, 15018"
CHURCH/TEMPLE,ELIZABETH TWP,15135,MT. VERNON COM PRESBYTERIAN CHURCH- 2200 GREENOCK  BUENA VISTA RD. , 2200 GREENOCK  BUENA VISTA RD. ," 2200 GREENOCK  BUENA VISTA RD. , ELIZABETH TWP"," 2200 GREENOCK  BUENA VISTA RD. , ELIZABETH TWP, Pennsylvania, 15135"
CHURCH/TEMPLE,ELIZABETH TWP,15135,MT. VERNON COM PRESBYTERIAN CHURCH- 2200 GREENOCK  BUENA VISTA RD. , 2200 GREENOCK  BUENA VISTA RD. ," 2200 GREENOCK  BUENA VISTA RD. , ELIZABETH TWP"," 2200 GREENOCK  BUENA VISTA RD. , ELIZABETH TWP, Pennsylvania, 15135"
VOL FIRE STATIONS,ELIZABETH TWP,15135,BOSTON VOL FIRE CO.- 6001 SMITHFIELD ST., 6001 SMITHFIELD ST.," 6001 SMITHFIELD ST., ELIZABETH TWP"," 6001 SMITHFIELD ST., ELIZABETH TWP, Pennsylvania, 15135"
VOL FIRE STATIONS,ELIZABETH TWP,15135,GREENOCK FIRE HALL- 1002 GREENOCK BUENA VISTA RD., 1002 GREENOCK BUENA VISTA RD.," 1002 GREENOCK BUENA VISTA RD., ELIZABETH TWP"," 1002 GREENOCK BUENA VISTA RD., ELIZABETH TWP, Pennsylvania, 15135"
PUBLIC SCHOOLS,ELIZABETH TWP,15037,ELIZABETH FORWARD HIGH SCHOOL- 1000 WEIGLES HILLS RD. , 1000 WEIGLES HILLS RD. ," 1000 WEIGLES HILLS RD. , ELIZABETH TWP"," 1000 WEIGLES HILLS RD. , ELIZABETH TWP, Pennsylvania, 15037"
VOL FIRE STATIONS,ELIZABETH TWP,15018,BLYTHEDALE VFD-1799 BLYTHEDALE RD,1799 BLYTHEDALE RD,"1799 BLYTHEDALE RD, ELIZABETH TWP","1799 BLYTHEDALE RD, ELIZABETH TWP, Pennsylvania, 15018"
VOL FIRE STATIONS,ELIZABETH TWP,15037,BLAINE HILL VOL FIRE CO.- 409 OXFORD AVE., 409 OXFORD AVE.," 409 OXFORD AVE., ELIZABETH TWP"," 409 OXFORD AVE., ELIZABETH TWP, Pennsylvania, 15037"
PRIVATE SCHOOL,EMSWORTH,15202,SACRED HEART CHURCH- 154 ORCHARD AVE. , 154 ORCHARD AVE. ," 154 ORCHARD AVE. , EMSWORTH"," 154 ORCHARD AVE. , EMSWORTH, Pennsylvania, 15202"
CHURCH/TEMPLE,EMSWORTH,15202,SACRED HEART CHURCH- 154 ORCHARD AVE. , 154 ORCHARD AVE. ," 154 ORCHARD AVE. , EMSWORTH"," 154 ORCHARD AVE. , EMSWORTH, Pennsylvania, 15202"
CHURCH/TEMPLE,ETNA,15223,CALVERT MEMORIAL PRESBYTERIAN CHURCH- 94 LOCUST ST., 94 LOCUST ST.," 94 LOCUST ST., ETNA"," 94 LOCUST ST., ETNA, Pennsylvania, 15223"
MUNICIPAL OWNED BLDG,ETNA,15223,BOROUGH OF ETNA MUNICIPAL BUILDING- 437 BUTLER ST. , 437 BUTLER ST. ," 437 BUTLER ST. , ETNA"," 437 BUTLER ST. , ETNA, Pennsylvania, 15223"
CHURCH/TEMPLE,ETNA,15223,ALL SAINTS CHURCH ACTIVITY BUILDING- 19 WILSON ST. , 19 WILSON ST. ," 19 WILSON ST. , ETNA"," 19 WILSON ST. , ETNA, Pennsylvania, 15223"
MUNICIPAL OWNED BLDG,FAWN,15084,MUNICIPAL BUILDING 1ST FLOOR- 3054 HOWES RUN RD. , 3054 HOWES RUN RD. ," 3054 HOWES RUN RD. , FAWN"," 3054 HOWES RUN RD. , FAWN, Pennsylvania, 15084"
MUNICIPAL OWNED BLDG,FAWN,15065,FAWN MUNICIPAL BLDG 3054 HOWES RUN RD,#VALUE!,#VALUE!,#VALUE!
PUBLIC REC CENTERS,FINDLAY,15026,FINDLAY TWP MUNI BLDG- 1271 RT 30, 1271 RT 30," 1271 RT 30, FINDLAY"," 1271 RT 30, FINDLAY, Pennsylvania, 15026"
PUBLIC REC CENTERS,FINDLAY,15126,FINDLAY TWP ACTIVITY CTR- 310 MAIN ST., 310 MAIN ST.," 310 MAIN ST., FINDLAY"," 310 MAIN ST., FINDLAY, Pennsylvania, 15126"
